id,email,dummy_email,first name,last name,name,full_name,description,company_position,company_name,created_at,last.seen,last.seen_unix,last.location.country.code,last.location.city,totals.visits,totals.pageviews,totals.engaged_time,first.referrer.href,Plan,NPS,lead_score,heard_about,avatar,phone,company_position (rnd generator)
22288,rdavey@gmail.com,milagros.crespo@example.com,milagros,crespo,Milagros Crespo,Milagros Crespo,All the Telco things.,CFO,ABC Telecom,8/4/2015 2:59:08,7/28/2016 12:43:00,1469709780,GB,London,159,731,43397943,https://twitter.com/GoSquared/status/735492217792405504,Free,6,6,TV,https://randomuser.me/api/portraits/women/83.jpg,668-878-887,Developer
17395,francisco@pousta.com,jennifer.bishop@example.com,jennifer,bishop,Jennifer Bishop,Jennifer Bishop,Never read the comments.,Developer,QWERTY Logistics,7/7/2015 17:20:43,8/5/2016 3:48:54,1470368934,CL,Santiago,2713,13175,273201658,https://facebook.com/,Pro,5,3,Google,https://randomuser.me/api/portraits/women/87.jpg,081-643-6934,Marketing
74053,felix@cityscoutmag.com,maïwenn.charles@example.com,maïwenn,charles,Maïwenn Charles,Maïwenn Charles,Arrested developer @ the Bluth Company.,CTO,Bluth Company,10/4/2013 0:23:40,7/31/2016 7:41:42,1469950902,US,Sacramento,102,859,11802652,https://www.producthunt.com/,Pro,2,10,Twitter,https://randomuser.me/api/portraits/women/27.jpg,(217)-607-7802,Sales
60954,mr@jamesjwyork.com,victoria.rodriguez@example.com,victoria,rodriguez,Victoria Rodriguez,Victoria Rodriguez,"Insurance retailer, content & product manager. Love projects, sff, sport & politics. Wolves-fan [idiot], bull-hearted idealist.",Marketing,"Demo, inc.",7/6/2015 4:55:46,8/4/2016 22:19:03,1470349143,GB,London,77,838,20540805,https://twitter.com/GoSquared/status/735492217792405504,Basic,9,8,TV,https://randomuser.me/api/portraits/women/57.jpg,(891)-453-7450,Designer
42424,desk@shawnblanc.net,luisa.schwab@example.com,luisa,schwab,Luisa Schwab,Luisa Schwab,"Call Mrs Plow, thats my name. That name again is Mrs Plow.",CEO,Plow King,9/7/2013 17:10:08,8/4/2016 2:01:10,1470276070,US,Grandview,272,2141,38703488,https://www.google.com/,Free,8,2,TV,https://randomuser.me/api/portraits/women/25.jpg,0178-4037959,Sales
36930,mmoyer@nvbc.org,nalan.akar@example.com,nalan,akar,Nalan Akar,Nalan Akar,"Christian, Husband of 1, Father of 2, & Love What I Do! Media Director design, web, radio & video",Business Development,Ankh-Sto Associates,6/17/2015 12:19:32,8/3/2016 1:58:34,1470189514,US,Santa Clara,314,1444,32974525,https://www.google.com/,Basic,3,6,Meetup,https://randomuser.me/api/portraits/women/86.jpg,(110)-641-1769,Founder
42992,dave@snapt-ui.com,olivia.fabre@example.com,olivia,fabre,Olivia Fabre,Olivia Fabre,Founder of the most extensive enterprise company in the world.,Founder,Extensive Enterprise,6/5/2015 15:00:48,8/1/2016 10:27:52,1470047272,ZA,Johannesburg,231,1357,18369739,https://facebook.com/,Free,8,1,Podcast,https://randomuser.me/api/portraits/women/80.jpg,06-33-37-49-30,Customer Success
24943,matt@mds.is,ricardus.zoer@example.com,ricardus,zoer,Ricardus Zoer,Ricardus Zoer,Tech geek who previously founded the universe. More recently I'm focussing my efforts on just one galaxy.,CTO,Galaxy Corp,6/1/2015 17:35:23,7/13/2016 20:06:50,1468440410,US,Athens,614,4833,85853557,https://www.producthunt.com/,Free,2,10,Facebook,https://randomuser.me/api/portraits/men/43.jpg,(891)-284-4034,Founder
40290,mark@radiolingua.com,felix.torres@example.com,felix,torres,Felix Torres,Felix Torres,"Teacher, language geek, Mac person, music lover. Husband and dad.",Customer Success,Globo-Chem,5/18/2015 9:33:10,8/3/2016 16:58:12,1470243492,GB,Ayr,327,1101,15858150,https://twitter.com/GoSquared/status/735492217792405504,Pro,4,4,Facebook,https://randomuser.me/api/portraits/men/90.jpg,645-042-231,Business Development
42294,atl@carwitter.com,emre.elçiboğa@example.com,emre,elçiboğa,Emre Elçiboğa,Emre Elçiboğa,Sparkles | shinies | glitter,Business Development,Mr. Sparkle,4/21/2015 14:54:54,8/3/2016 14:37:30,1470235050,GB,Milton Keynes,1421,3141,54209636,https://www.producthunt.com/,Free,6,6,Facebook,https://randomuser.me/api/portraits/men/3.jpg,(195)-296-4532,Founder
20332,nick@mojotech.com,aapo.laitinen@example.com,aapo,laitinen,Aapo Laitinen,Aapo Laitinen,"Design bat suits @wayneenterprises, hiker, climber, triathlete, dog person",Designer,Wayne Enterprises,11/11/2014 18:29:52,3/1/2016 19:57:29,1456862249,US,Los Angeles,17,96,633370,https://facebook.com/,Basic,3,3,Google,https://randomuser.me/api/portraits/men/53.jpg,041-827-25-17,CEO
33360,least@jbglobal.co.uk,ashton.martin@example.com,ashton,martin,Ashton Martin,Ashton Martin,"Combining entrepreneurship, technology & science to re-work the future & solve global challenges.",CTO,LexCorp,4/8/2015 18:59:47,8/2/2016 16:11:56,1470154316,GB,Swindon,45,537,16236582,https://www.google.com/,Pro,6,7,Google,https://randomuser.me/api/portraits/men/22.jpg,(134)-941-0200,CFO
23357,jbrooksuk@me.com,alfredo.lawrence@example.com,alfredo,lawrence,Alfredo Lawrence,Alfredo Lawrence,Passionate. Experienced. Human. Developer.,CFO,Roboto Industries,3/18/2014 16:43:07,8/5/2016 10:27:18,1470392838,GB,Newcastle upon Tyne,854,6641,101563580,https://twitter.com/GoSquared/status/735492217792405504,Enterpise,3,10,Blog post,https://randomuser.me/api/portraits/men/56.jpg,(646)-722-5522,CFO
37745,nikita.l.johnson@gmail.com,esma.toraman@example.com,esma,toraman,Esma Toraman,Esma Toraman,"Combining entrepreneurship, technology & science to re-work the future & solve global challenges",Customer Success,North Central Positronics,2/19/2015 0:29:20,7/29/2016 9:53:09,1469785989,GB,London,96,585,18453938,https://twitter.com/GoSquared/status/735492217792405504,Pro,3,6,Twitter,https://randomuser.me/api/portraits/women/89.jpg,(293)-375-1282,Sales
48893,jud@mineralinteractive.com,aldemar.carvalho@example.com,aldemar,carvalho,Aldemar Carvalho,Aldemar Carvalho,"CEO of Mineral Interactive - helping grow fintech and advisory firms through design, interaction and engagement. fmr Dir of Design & Mkting at @orionadvisor",CEO,Omni Consimer Products,2/5/2015 11:00:28,8/3/2016 22:58:36,1470265116,US,Papillion,140,1397,24645167,https://facebook.com/,Pro,3,2,Blog post,https://randomuser.me/api/portraits/men/92.jpg,(53) 7530-6442,Designer
23982,steve228uk@gmail.com,julie.johnston@example.com,julie,johnston,Julie Johnston,Julie Johnston,Making cool shit at @praxiscorp,Founder,Praxis Corporation,2/3/2015 19:52:19,7/29/2016 16:28:19,1469809699,GB,Leicester,1461,10904,108275210,https://www.google.com/,Basic,1,6,Podcast,https://randomuser.me/api/portraits/women/81.jpg,081-368-2719,CTO
36850,jhakesley@gmail.com,laura.santiago@example.com,laura,santiago,Laura Santiago,Laura Santiago,,CFO,Sombra Corporation,1/21/2015 10:38:57,8/1/2016 9:48:48,1470044928,GB,Maidenhead,1412,11561,254549149,https://www.google.com/,Pro,8,5,Medium post,https://randomuser.me/api/portraits/women/3.jpg,619-322-681,CTO
66503,b@wesell.com,gaël.adam@example.com,gaël,adam,Gaël Adam,Gaël Adam,,Designer,Sto Plains Holdings,12/9/2014 18:13:17,7/26/2016 23:40:51,1469576451,US,Englewood,320,6200,52316960,https://www.google.com/,Free,2,4,Google,https://randomuser.me/api/portraits/men/67.jpg,06-65-84-01-51,Sales
49368,dso@artofdrink.com,montserrat.pascual@example.com,montserrat,pascual,Montserrat Pascual,Montserrat Pascual,"Chemist, writer, bartender",Business Development,Tessier-Ashpool,11/17/2014 15:13:05,8/4/2016 2:49:28,1470278968,CA,St. Marys,392,2439,55413139,https://www.google.com/,Pro,10,5,TV,https://randomuser.me/api/portraits/women/86.jpg,649-850-425,Business Development
24048,carlos.silva@seedrs.com,soledad.serrano@example.com,soledad,serrano,Soledad Serrano,Soledad Serrano,Managing Director,Customer Success,Wentworth Industries,10/2/2014 23:29:53,7/8/2016 10:01:47,1467972107,PT,Lodrino,269,820,19247316,https://facebook.com/,Pro,7,4,Facebook,https://randomuser.me/api/portraits/women/68.jpg,684-443-946,CTO
31171,samsonlov@kossresource.com,eloane.lacroix@example.com,eloane,lacroix,Eloane Lacroix,Eloane Lacroix,"Commercial Real Estate, Real Easy!",Founder,The New Firm,9/22/2014 3:13:17,8/5/2016 0:58:29,1470358709,US,Harlow,654,7527,158684976,https://www.google.com/,Pro,3,5,Podcast,https://randomuser.me/api/portraits/women/51.jpg,06-07-11-38-78,Marketing
44955,alex.bridges@wavecastpro.com,samuel.chambers@example.com,samuel,chambers,Samuel Chambers,Samuel Chambers,"CEO of the company  - real time engagement platform for online events, conferences and thought leadership programmes.",CEO,Bluth Company,9/1/2014 9:48:09,7/19/2016 1:09:47,1468890587,IT,Milan,1021,2800,102998802,https://facebook.com/,Enterpise,10,1,Product Hunt,https://randomuser.me/api/portraits/men/66.jpg,(138)-640-0695,CTO
63716,alex.wood@creativeagenda.co.uk,salman.mouthaan@example.com,salman,mouthaan,Salman Mouthaan,Salman Mouthaan,"I was once a journalist for a year. Tweets about #tech, #sport and #music.",Marketing,Strickland Propane,7/27/2014 23:32:35,8/5/2016 2:51:48,1470365508,GB,London,1819,10524,277434006,https://www.google.com/,Basic,8,1,Product Hunt,https://randomuser.me/api/portraits/men/84.jpg,(562)-453-1614,CEO
67376,patrick@laroquephoto.com,clémence.bonnet@example.com,clémence,bonnet,Clémence Bonnet,Clémence Bonnet,Professional photographer specializing in documentary photography and stylized portraiture. Fujifilm X Photographer and member of the KAGE COLLECTIVE.,CTO,Thatherton Fuels,6/29/2014 5:18:01,8/4/2016 12:44:17,1470314657,CA,Sainte-Julie,99,508,13201401,https://www.producthunt.com/,Pro,4,5,Friend,https://randomuser.me/api/portraits/women/49.jpg,(444)-474-8694,CFO
42921,dominique@cubink.co.uk,chloe.campbell@example.com,chloe,campbell,Chloe Campbell,Chloe Campbell,"Après un long parcours d'indépendant en France dans la vente puis l'accompagnement de la commercialisation de solutions B2B, je me suis expatrié à Londres!",CTO,Pied Piper,4/5/2014 19:14:55,7/22/2016 21:12:17,1469221937,FR,Dijon,259,2562,30527004,https://twitter.com/GoSquared/status/735492217792405504,Enterpise,8,2,Podcast,https://randomuser.me/api/portraits/women/65.jpg,178-635-4536,Founder
24933,nigel@powerstick.com,charlie.chan@example.com,charlie,chan,Charlie Chan,Charlie Chan,We make cool and innovative mobile chargers so you never need to worry about a dead mobile device again. Always pushing the mobile tech envelope.,Designer,Moes Tavern,1/31/2014 23:16:09,8/3/2016 19:52:14,1470253934,US,Cos Cob,582,3675,48188631,https://www.producthunt.com/,Basic,6,1,Medium post,https://randomuser.me/api/portraits/women/51.jpg,978-478-9283,Developer
15119,steve@modlifeonline.com.au,hanna.perez@example.com,hanna,perez,Hanna Perez,Hanna Perez,"Sydney based company that is dedicated to bringing a unique collection of innovative, beautifully designed film and photography products.",Founder,Mammoth Pictures,1/29/2014 11:45:34,8/5/2016 4:10:49,1470370249,AU,Oceanside,861,3067,180897991,https://www.producthunt.com/,Free,4,8,Podcast,https://randomuser.me/api/portraits/women/6.jpg,0794-161-826,Sales
36939,scott@mccscp.com,aiden.murphy@example.com,aiden,murphy,Aiden Murphy,Aiden Murphy,"Located aboard beautiful Camp Pendleton, CA. We are here to provide top notch services for our Marine Corps, Navy personnel and their families!",Marketing,Mooby Corp,1/27/2014 14:47:17,7/12/2016 0:15:57,1468282557,US,Westmont,155,650,24234689,https://www.google.com/,Enterpise,7,1,TV,https://randomuser.me/api/portraits/men/23.jpg,0734-545-104,CTO
8676,jb@petrescue.org.au,victoria.nielsen@example.com,victoria,nielsen,Victoria Nielsen,Victoria Nielsen,Helping people securely store all of their most precious magical items.,Customer Success,Gringotts,1/14/2014 23:20:24,7/19/2016 13:46:52,1468936012,AU,Perth,375,977,26056415,https://www.google.com/,Enterpise,3,1,Podcast,https://randomuser.me/api/portraits/women/27.jpg,95778618,CEO
74969,patrick@garman.io,yorn.alders@example.com,yorn,alders,Yorn Alders,Yorn Alders,"I enjoy making stuff, and I do @WooCommerce development.",Designer,Thrift Bank,11/21/2013 15:40:18,7/23/2016 22:27:55,1469312875,US,Seattle,45,774,8006813,https://facebook.com/,Basic,1,3,Facebook,https://randomuser.me/api/portraits/men/52.jpg,(920)-964-1417,Developer
61902,jitta@crunchprep.com,princess.vanengelenburg@example.com,princess,van engelenburg,Princess Van Engelenburg,Princess Van Engelenburg,I just love flowers.,Sales,Flowers By Irene,11/5/2013 16:51:24,3/1/2016 12:41:39,1456836099,IN,Hyderabad,141,1105,16339989,https://facebook.com/,Pro,1,4,TV,https://randomuser.me/api/portraits/women/23.jpg,(301)-625-2817,CFO
64979,porcupine@porcupine.gr,blake.cook@example.com,blake,cook,Blake Cook,Blake Cook,"UI/UX Designer. Scribbler. Controls entropy via typography and colors, tunes and coffee.",Designer,The Legitimate Businessmens Club,10/29/2013 11:21:13,7/14/2016 13:05:53,1468501553,GR,Thessaloniki,199,607,15831026,https://twitter.com/GoSquared/status/735492217792405504,Free,2,4,TV,https://randomuser.me/api/portraits/men/15.jpg,081-835-2653,Business Development
46328,adam@elixirgraphics.com,danny.black@example.com,danny,black,Danny Black,Danny Black,"Leadership, Growth, Strength, Dynamic Ability",CEO,Osato Chemicals,10/27/2013 14:50:09,8/2/2016 21:55:15,1470174915,US,Apopka,107,619,12779849,https://twitter.com/GoSquared/status/735492217792405504,Basic,9,10,Friend,https://randomuser.me/api/portraits/men/42.jpg,081-588-3263,Business Development
37812,joanna@starboardmedia.co.uk,sean.shelton@example.com,sean,shelton,Sean Shelton,Sean Shelton,Front-end Developer & Film Producer. ,Business Development,Transworld Consortium,10/23/2013 16:39:37,7/22/2016 11:09:10,1469185750,GB,Portsmouth,107,1207,19318667,https://twitter.com/GoSquared/status/735492217792405504,Basic,5,2,Product Hunt,https://randomuser.me/api/portraits/men/73.jpg,(359)-571-1993,Marketing
5786,jamie@jamiebrittain.com,sije.balk@example.com,sije,balk,Sije Balk,Sije Balk,"Designer, developer and car enthusiast.",Designer,Virtucon,9/27/2013 18:30:37,8/2/2016 12:14:29,1470140069,GB,Manchester,263,1675,29156892,https://facebook.com/,Pro,7,2,TV,https://randomuser.me/api/portraits/men/80.jpg,(282)-896-4252,CEO
5099,robert@rjfc.net,nicolas.renard@example.com,nicolas,renard,Nicolas Renard,Nicolas Renard,"Entrepreneur, pilot, burger lover.",Business Development,Kumatsu Motors,9/16/2013 12:07:04,8/5/2016 5:43:10,1470375790,US,New York,7196,25529,231857326,https://www.google.com/,Free,7,2,Twitter,https://randomuser.me/api/portraits/men/18.jpg,(178)-042-9112,Developer
62368,jmueller@growthtrac.com,mathilde.herbst@example.com,mathilde,herbst,Mathilde Herbst,Mathilde Herbst,"Growthtrac is an online marriage hub, enriching marriages with expert resources and more, worldwide.",Designer,Industrial Automation,8/20/2013 8:46:18,7/30/2016 16:14:57,1469895297,US,Atlanta,391,1361,32719347,https://www.google.com/,Free,1,2,Facebook,https://randomuser.me/api/portraits/women/86.jpg,0538-2789045,CEO
76097,techmon@pet360.com,florian.kolb@example.com,florian,kolb,Florian Kolb,Florian Kolb,I am a very serious cyber man.,Founder,Sirius Cybernetics Corporation,8/19/2013 17:25:55,8/4/2016 18:09:10,1470334150,US,Wilmington,117,1270,22348138,https://facebook.com/,Free,4,6,Facebook,https://randomuser.me/api/portraits/men/19.jpg,0917-0431993,Sales
46994,gray.stern@landbay.co.uk,oliver@example.com,oliver,bergeron,Oliver Bergeron,Oliver Bergeron,,Marketing,Leeding Engines Ltd.,8/15/2013 11:38:34,8/3/2016 15:29:52,1470238192,IN,Ahmedabad,1029,12006,624656759,https://facebook.com/,Basic,2,1,Google,https://randomuser.me/api/portraits/men/30.jpg,320-321-2011,Founder
